time mem
393137.56 2853052
392601.04 2963092
393227.39 2959288
396637.89 2892768
403683.57 2976492
403855.52 2989452
398482.46 2937812
408579.38 2994140
396573.53 2983248
397088.82 2984056
400914.25 2939588
400756.68 2913108
404527.20 2961756
399827.00 2971556
405517.86 2967696
393266.49 2997680
405166.61 2943500
407588.30 2928004
402830.76 3011480
399150.42 3007180
398959.89 2927252
402250.22 3051664
405020.37 3016272
404556.32 3011764
404371.58 2951928
402981.26 2898052
403757.18 2904612
396147.62 2894000
401336.44 2930752
410487.46 2957332
404224.91 2974656
390603.56 2954220
405906.64 2937060
395872.36 2926644
406058.31 2986800
405667.49 2964908
405691.58 3067408
395622.14 2941508
389249.32 2910408
391652.34 2973704
